Id,Title,Category,Diagram,Interaction,State,Description,Justification,Inferrable data types,# data types,Physical safety,Mental wellbeing,Priority
910,Replay Attacks,Tampering,L0: Clinic,haptic_controls,Needs Investigation,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,,0,Disorientation,,Medium
912,Replay Attacks,Tampering,L0: Clinic,control_commands,Needs Investigation,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,,0,Disorientation,,Medium
913,Collision Attacks,Tampering,L0: Clinic,control_commands,Needs Investigation,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,,0,Disorientation,,Medium
789,Potential Data Repudiation by Server,Repudiation,L0: Clinic,networked_telemetry,Needs Investigation,"Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,,0,Disorientation,,Medium
793,Elevation Using Impersonation,Elevation Of Privilege,L0: Clinic,networked_telemetry,Not Applicable,Server may be able to impersonate the context of Network device in order to gain additional privilege.,Not possible/highly unlikely,,,,,
778,Elevation Using Impersonation,Elevation Of Privilege,L0: Clinic,user_sensor_data,Not Applicable,Meta Quest 2 may be able to impersonate the context of Human User in order to gain additional privilege.,Not possible/highly unlikely,,,,,
863,Elevation Using Impersonation,Elevation Of Privilege,L0: Clinic,control_commands,Not Applicable,Meta Quest 2 may be able to impersonate the context of Meta Quest Touch controllers in order to gain additional privilege.,Not possible,,,,,
862,Elevation Using Impersonation,Elevation Of Privilege,L0: Clinic,haptic_controls,Not Applicable,Meta Quest Touch controllers may be able to impersonate the context of Meta Quest 2 in order to gain additional privilege.,Not possible/highly unlikely,,,,,
865,Elevation Using Impersonation,Elevation Of Privilege,L0: Clinic,controller_inputs,Not Applicable,Meta Quest Touch controllers may be able to impersonate the context of Human User in order to gain additional privilege.,Not possible,,,,,
794,Server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,L0: Clinic,networked_telemetry,Not Applicable,Network device may be able to remotely execute code for Server.,It is assumed the network device is not sophisticated enough,,,,,
